experiment,results,composition
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",4.0,heterogeneous
"[0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 1]",15.0,heterogeneous
"[0, 0, 0, 1]",24.0,heterogeneous
"[0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 1]",19.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 1]",29.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",5.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",14.0,heterogeneous
"[0, 0, 0, 1]",14.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 1]",21.0,heterogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",16.0,heterogeneous
"[0, 0, 0, 1]",11.0,heterogeneous
"[0, 0, 0, 1]",14.0,heterogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",7.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",17.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 1]",6.0,heterogeneous
"[0, 0, 0, 1]",10.0,heterogeneous
"[0, 0, 0, 1]",8.0,heterogeneous
"[0, 0, 0, 1]",9.0,heterogeneous
"[0, 0, 0, 1]",12.0,heterogeneous
"[0, 0, 0, 1]",13.0,heterogeneous
"[0, 0, 0, 0, 0]",35.0,homogeneous
"[0, 0, 0, 0, 0]",122.0,homogeneous
"[0, 0, 0, 0, 0]",66.0,homogeneous
"[0, 0, 0, 0, 0]",84.0,homogeneous
"[0, 0, 0, 0, 0]",33.0,homogeneous
"[0, 0, 0, 0, 0]",60.0,homogeneous
"[0, 0, 0, 0, 0]",36.0,homogeneous
"[0, 0, 0, 0, 0]",74.0,homogeneous
"[0, 0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0, 0]",101.0,homogeneous
"[0, 0, 0, 0, 0]",114.0,homogeneous
"[0, 0, 0, 0, 0]",70.0,homogeneous
"[0, 0, 0, 0, 0]",421.0,homogeneous
"[0, 0, 0, 0, 0]",42.0,homogeneous
"[0, 0, 0, 0, 0]",50.0,homogeneous
"[0, 0, 0, 0, 0]",130.0,homogeneous
"[0, 0, 0, 0, 0]",55.0,homogeneous
"[0, 0, 0, 0, 0]",33.0,homogeneous
"[0, 0, 0, 0, 0]",69.0,homogeneous
"[0, 0, 0, 0, 0]",37.0,homogeneous
"[0, 0, 0, 0, 0]",265.0,homogeneous
"[0, 0, 0, 0, 0]",62.0,homogeneous
"[0, 0, 0, 0, 0]",8.0,homogeneous
"[0, 0, 0, 0, 0]",57.0,homogeneous
"[0, 0, 0, 0, 0]",20.0,homogeneous
"[0, 0, 0, 0, 0]",8.0,homogeneous
"[0, 0, 0, 0, 0]",126.0,homogeneous
"[0, 0, 0, 0, 0]",72.0,homogeneous
"[0, 0, 0, 0, 0]",79.0,homogeneous
"[0, 0, 0, 0, 0]",26.0,homogeneous
"[0, 0, 0, 0, 0]",56.0,homogeneous
"[0, 0, 0, 0, 0]",29.0,homogeneous
"[0, 0, 0, 0, 0]",86.0,homogeneous
"[0, 0, 0, 0, 0]",68.0,homogeneous
"[0, 0, 0, 0, 0]",50.0,homogeneous
"[0, 0, 0, 0, 0]",51.0,homogeneous
"[0, 0, 0, 0, 0]",15.0,homogeneous
"[0, 0, 0, 0, 0]",19.0,homogeneous
"[0, 0, 0, 0, 0]",66.0,homogeneous
